discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,DelayFactor,participant,session,date,expName,psychopyVersion,frameRate,
16,0,16,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.1646337769998354,14,15,You got it!,15,32,336,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.8467998119995173,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
17,0,17,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,5.28997272900051,15,15,You got it!,1,15,351,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
17,0,17,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,0.6630421150002803,space,0.8333797569994204,189.53916015300092,None,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
18,0,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
18,0,18,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
18,0,18,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0.8680233180002688,16,30,You got it!,1,16,367,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7309314539998013,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
19,0,19,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,0.5851091099993937,14,30,You got it!,1,14,381,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5983836069990502,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
20,0,20,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.1357578560000547,12,30,You got it!,1,12,393,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.038137454001116566,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
21,0,21,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.9389720700000908,10,30,You got it!,1,10,403,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8298830570001883,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
22,0,22,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.1051974919992062,8,30,You got it!,1,8,411,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.061592979000124615,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
23,0,23,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.6519699750006112,6,30,You got it!,1,6,417,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.0958259460003319,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
24,0,24,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.3245321569993393,4,30,You got it!,1,4,421,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5649808750004013,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
25,0,25,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,2.1244636589999573,2,30,You got it!,1,2,423,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5115081919993827,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
26,0,26,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,3.5493501689998084,1,30,You got it!,1,1,424,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6965963889997511,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
27,0,27,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,1.2210040730005858,1,30,You got it!,1,1,425,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.2224201379995066,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
28,0,28,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.288351702,1,30,You got it!,1,1,426,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8975074650006718,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
29,0,29,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,2.7371832620010537,1,30,You got it!,1,1,427,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
29,0,29,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,1.9809756399990874,space,0.8180414800008293,277.3941594600001,None,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
30,0,30,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
30,0,30,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
30,0,30,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,3.5502403440004855,16,7,You got it!,1,16,443,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.998133796001639,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
31,0,31,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,9.002610736999486,14,7,You got it!,7,32,475,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.398943958000018,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
32,0,32,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.6377777550005703,16,7,You got it!,1,16,491,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.8802479090009,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
33,0,33,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,1.7898560049998196,14,7,You did not get it!,7,32,491,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8670811400006642,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
34,0,34,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,4.206360060001316,16,7,You got it!,1,16,507,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.41667276400039555,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
35,0,35,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,0.7875595990008151,14,7,You got it!,7,32,539,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5651545459986664,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
36,0,36,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,9.256458279000071,15,7,You got it!,1,15,554,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
36,0,36,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,5.924785524999606,space,2.015553479999653,372.5526965049994,None,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t1,001,2021_фев_19_1144,discounting_block,2020.2.10,59.87525481660652,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4225287356321839,,,,,,,
