discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin.thisRepN,blockbegin.thisTrialN,blockbegin.thisN,blockbegin.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcomeResp.keys,welcomeResp.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
24,0,24,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,2.500478996000311,18,15,You did not get it!,15,32,228,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.18733108100423,None,311.18733108100423,None,311.18733108100423,None,space,3.7307039349980187,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
25,0,25,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,3.76519328699942,19,15,You got it!,15,32,260,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.9843403949999,None,334.9843403949999,None,334.9843403949999,None,space,3.4879053510012454,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
26,0,26,0,,,,,,,,,,,,,0,0,0,0,,,,,,,2,21.935885915001563,20,15,You got it!,1,20,0,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
26,0,26,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,362.7059917919978,None,362.7059917919978,None,362.7059917919978,None,space,0.588134348996391,space,1.2601629310011049,363.3175241429999,None,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
27,0,27,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
27,0,27,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
27,0,27,0,,,,,,,,,0,0,0,0,,,,,,,,,,,1,4.534028863999993,16,30,You got it!,1,16,16,,,,,,,,,,,,,,001,2021_фев_22_1550,discounting_block,2020.2.10,60.03584199907485,
