discountingBlockLong.thisRepN,discountingBlockLong.thisTrialN,discountingBlockLong.thisN,discountingBlockLong.thisIndex,blockbegin4.thisRepN,blockbegin4.thisTrialN,blockbegin4.thisN,blockbegin4.thisIndex,blockbegin1.thisRepN,blockbegin1.thisTrialN,blockbegin1.thisN,blockbegin1.thisIndex,blockbegin3.thisRepN,blockbegin3.thisTrialN,blockbegin3.thisN,blockbegin3.thisIndex,blockbegin0.thisRepN,blockbegin0.thisTrialN,blockbegin0.thisN,blockbegin0.thisIndex,blockbegin2.thisRepN,blockbegin2.thisTrialN,blockbegin2.thisN,blockbegin2.thisIndex,choiceLeftLoop.thisRepN,choiceLeftLoop.thisTrialN,choiceLeftLoop.thisN,choiceLeftLoop.thisIndex,choiceRightLoop.thisRepN,choiceRightLoop.thisTrialN,choiceRightLoop.thisN,choiceRightLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,lan_choose.keys,lan_choose.rt,language_text.started,language_text.stopped,Intro_1.started,Intro_1.stopped,intro_1_ending.keys,intro_1_ending.rt,choiceResp.keys,choiceResp.rt,small_reward,Delay,result of chosen,delay of chosen,reward of chosen,total amount,block3.started,block3.stopped,block2.started,block2.stopped,block1.started,block1.stopped,repeatResp.keys,repeatResp.rt,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_6.started,text_6.stopped,text_13.started,text_13.stopped,text_14.started,text_14.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.16583290003473,None,62.16583290003473,None,62.16583290003473,None,space,1.449861700006295,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,0.3270718000130728,12,1,Вы не получили M&Ms!,1,32,30,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.11485000001267,None,66.11485000001267,None,66.11485000001267,None,space,0.31681859999662265,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,0.40641880000475794,14,1,Вы получили M&Ms!,1,14,44,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.03793250001036,None,69.03793250001036,None,69.03793250001036,None,space,0.32172730000456795,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,0.35197259997949004,12,1,Вы получили M&Ms!,1,32,76,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.92119010002352,None,71.92119010002352,None,71.92119010002352,None,space,0.014509200002066791,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,2.343752399960067,13,1,Вы получили M&Ms!,1,13,89,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.45219219999854,None,76.45219219999854,None,76.45219219999854,None,space,0.5556232000235468,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1,0.5386516000144184,12,1,Вы не получили M&Ms!,1,32,89,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,79.71511150000151,None,79.71511150000151,None,79.71511150000151,None,space,0.07665339997038245,space,2.932243999966886,79.81943329999922,None,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
11,0,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.77748029999202,None,,,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
11,0,11,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8238343000412,None,,,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
11,0,11,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8275350999902,None,,,,,,001,2021_Mar_22_1833,discounting_block,2021.1.2,60.027648742886086,
